Product;Cluster;Centroid
337014600_2;2;331039400_2
337014800_2;11;337015200_2
337014900_2;11;337015200_2
337015000_2;6;336011600_2
337015100_2;11;337015200_2
337015200_2;11;337015200_2
337015300_2;6;336011600_2
337015400_2;11;337015200_2
337015500_2;6;336011600_2
337015600_2;11;337015200_2
337015700_2;11;337015200_2
337015800_2;6;336011600_2
337015900_2;6;336011600_2
337016000_2;6;336011600_2
337016001_2;3;335015200_2
337016100_2;6;336011600_2
337016600_2;2;331039400_2
337016800_2;3;335015200_2
337016900_2;2;331039400_2
337017000_2;3;335015200_2
337017100_2;2;331039400_2
337017200_2;4;332037600_2
337017300_2;6;336011600_2
337017400_2;6;336011600_2
337031600_2;2;331039400_2
337081300_2;10;331031700_2
337081701_2;10;331031700_2
337082100_2;6;336011600_2
337082301_2;12;331023400_2
337082800_2;10;331031700_2
337083300_2;10;331031700_2
337100101_2;3;335015200_2
337101000_2;2;331039400_2
337130200_2;6;336011600_2
337135200_2;3;335015200_2
337160100_2;10;331031700_2
337160500_2;3;335015200_2
337200200_2;6;336011600_2
337209000_2;3;335015200_2
337268900_2;2;331039400_2
337504200_2;1;331995271_2
337509700_2;1;331995271_2
337766600_2;5;335023000_2
337830502_2;7;331051800_2
337830503_2;1;331995271_2
337830504_2;1;331995271_2
337831200_2;9;335025700_2
337850112_2;1;331995271_2
337850607_2;11;337015200_2
337850901_2;10;331031700_2
337851100_2;6;336011600_2
337852600_2;10;331031700_2
337852700_2;10;331031700_2
337861803_2;3;335015200_2
337861804_2;4;332037600_2
337880302_2;1;331995271_2
337880901_2;11;337015200_2
337882001_2;11;337015200_2
337882100_2;11;337015200_2
337882600_2;11;337015200_2
337901802_2;5;335023000_2
337951000_2;11;337015200_2
337962200_2;12;331023400_2
337994912_2;7;331051800_2
337994913_2;1;331995271_2
338008500_2;1;331995271_2
338008700_2;1;331995271_2
338008800_2;1;331995271_2
338008900_2;1;331995271_2
338009100_2;6;336011600_2
338009300_2;11;337015200_2
338009400_2;1;331995271_2
338009500_2;11;337015200_2
338009600_2;1;331995271_2
338010400_2;12;331023400_2
338011200_2;6;336011600_2
338013200_2;11;337015200_2
338013300_2;11;337015200_2
338013700_2;11;337015200_2
338013800_2;11;337015200_2
338014200_2;11;337015200_2
338014300_2;11;337015200_2
338014400_2;11;337015200_2
338019900_2;11;337015200_2
338020000_2;11;337015200_2
338020100_2;11;337015200_2
338020500_2;11;337015200_2
338020600_2;6;336011600_2
338020800_2;11;337015200_2
338021200_2;11;337015200_2
338025900_2;11;337015200_2
338026000_2;11;337015200_2
338028200_2;8;331995287_2
338028300_2;6;336011600_2
338028500_2;1;331995271_2
338880302_2;3;335015200_2
338886104_2;3;335015200_2
338962200_2;6;336011600_2
338980000_2;6;336011600_2
339023100_2;11;337015200_2
339024700_2;11;337015200_2
339026900_2;11;337015200_2
344000500_2;10;331031700_2
344000600_2;6;336011600_2
344000700_2;10;331031700_2
344088200_2;8;331995287_2
344088303_2;12;331023400_2
344088701_2;12;331023400_2
345008400_2;3;335015200_2
345009600_2;12;331023400_2
345009700_2;9;335025700_2
345009800_2;9;335025700_2
345009900_2;9;335025700_2
345010000_2;6;336011600_2
345010100_2;9;335025700_2
345010200_2;9;335025700_2
345010300_2;11;337015200_2
345010500_2;9;335025700_2
345010600_2;12;331023400_2
345010700_2;10;331031700_2
345010800_2;5;335023000_2
345010900_2;12;331023400_2
345011300_2;11;337015200_2
345011600_2;9;335025700_2
345011700_2;12;331023400_2
345011800_2;5;335023000_2
345011900_2;10;331031700_2
345012000_2;5;335023000_2
345012400_2;10;331031700_2
345012500_2;9;335025700_2
345012600_2;5;335023000_2
345012700_2;12;331023400_2
345012800_2;9;335025700_2
345012900_2;9;335025700_2
345013000_2;11;337015200_2
345013500_2;9;335025700_2
345013600_2;10;331031700_2
345018600_2;11;337015200_2
345018700_2;11;337015200_2
345018800_2;11;337015200_2
345018900_2;11;337015200_2
345019000_2;11;337015200_2
345019100_2;1;331995271_2
345019200_2;11;337015200_2
345019300_2;11;337015200_2
345019400_2;1;331995271_2
345019500_2;11;337015200_2
345019600_2;1;331995271_2
345019700_2;11;337015200_2
345019800_2;11;337015200_2
345019900_2;11;337015200_2
345020600_2;1;331995271_2
345020800_2;1;331995271_2
345020900_2;11;337015200_2
345021000_2;11;337015200_2
345021100_2;1;331995271_2
345021800_2;11;337015200_2
345021900_2;11;337015200_2
345022100_2;11;337015200_2
345022200_2;11;337015200_2
345022400_2;11;337015200_2
